PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Fare,Embarked
448,1,3,"Martin, Evelyn",female,20.9,0,4,26.78,Q
449,1,3,"Wilson, Joseph",male,15.7,0,0,25.84,C
450,0,3,"Smith, James",male,2.5,3,0,57.67,C
451,0,3,"Thomas, Catherine",female,47.3,0,0,44.3,Q
452,0,3,"Brown, Charles",male,23.7,0,0,59.95,S
453,1,1,"Wilson, William",male,23.7,0,0,100.15,S
454,1,3,"Brown, Elizabeth",female,28.8,1,1,22.01,C
455,0,2,"Davis, Albert",male,23.3,1,0,39.66,S
456,1,2,"Taylor, Joseph",male,13.0,0,0,31.14,S
457,0,3,"Williams, William",male,36.6,0,0,15.37,S
458,1,1,"Anderson, Thomas",male,41.4,2,0,126.85,C
459,1,1,"Davis, John",male,14.0,0,0,103.37,S
460,0,3,"Jones, William",male,57.8,0,0,33.04,Q
461,0,1,"Williams, John",male,15.0,0,0,82.61,S
462,1,3,"Johnson, Albert",male,60.3,1,0,30.42,S
463,1,2,"Davis, Mary",female,,0,0,34.94,S
464,0,2,"Smith, Charles",male,2.4,0,0,39.95,S
465,1,2,"Jones, Edith",female,23.7,0,2,30.68,S
466,0,2,"Moore, George",male,25.1,5,2,61.26,C
467,0,3,"Thomas, Edward",male,27.3,0,0,17.16,C
468,1,2,"Taylor, Catherine",female,25.9,1,2,40.4,S
469,0,3,"White, Robert",male,30.2,0,1,29.57,S
470,1,3,"Johnson, Evelyn",female,20.9,0,0,39.29,C
471,0,3,"Davis, George",male,40.6,1,0,31.59,Q
472,1,3,"Johnson, Helen",female,21.3,0,1,33.81,S
473,0,3,"Anderson, George",male,38.2,2,1,35.84,S
474,1,1,"Martin, Edith",female,50.4,3,0,89.03,S
475,0,1,"Taylor, Edward",male,24.0,2,1,89.62,C
476,1,2,"Thomas, Mary",female,,0,0,54.86,S
477,0,3,"Wilson, Edward",male,1.1,1,1,51.51,S
478,0,1,"White, Albert",male,60.5,0,2,94.08,S
479,1,3,"Brown, Elizabeth",female,21.9,2,0,26.59,C
480,1,3,"Miller, Joseph",male,40.1,1,1,17.39,S
481,0,2,"Davis, Joseph",male,6.2,2,0,38.42,S
482,1,3,"Wilson, Margaret",female,22.1,0,0,18.85,S
483,0,1,"Smith, Charles",male,33.9,0,1,84.62,S
484,1,1,"Williams, Thomas",male,48.5,0,0,111.38,S
485,0,3,"Wilson, Robert",male,11.8,1,0,38.07,C
486,1,3,"Thomas, Mary",female,40.0,0,0,37.6,C
487,0,3,"Taylor, Henry",male,28.1,0,0,28.01,C
488,1,2,"Brown, Edward",male,7.7,1,0,36.69,C
489,1,2,"Moore, Mary",female,31.5,1,1,41.97,S
490,0,3,"Moore, Anna",female,52.9,0,0,30.01,C
491,0,3,"Moore, Charles",male,13.3,1,0,15.93,S
492,0,3,"Jones, Frederick",male,27.5,0,0,33.65,S
493,1,2,"Miller, James",male,15.2,0,1,39.86,Q
494,0,3,"Johnson, James",male,22.4,0,2,30.97,S
495,0,2,"Miller, George",male,49.1,0,4,37.7,S
496,0,1,"Martin, Albert",male,25.2,0,1,92.32,S
497,0,3,"Williams, Joseph",male,10.3,1,1,36.77,S
498,0,1,"Miller, Henry",male,44.5,0,0,118.47,S
499,0,3,"Davis, Anna",female,23.9,0,0,55.51,C
500,1,2,"Johnson, Emily",female,22.0,3,0,38.04,Q
